Price,Close,High,Low,Open,Volume
Ticker,ASII.JK,ASII.JK,ASII.JK,ASII.JK,ASII.JK
Date,,,,,
2023-01-04,4309.5224609375,4328.507141382159,4271.553100048183,4290.537780492842,32578900
2023-01-05,4081.70654296875,4328.507403706396,4081.7065429687505,4290.5380405159885,106047000
2023-01-06,4138.6611328125,4195.615185098911,4062.722396430619,4100.69176462156,59754600
2023-01-09,4062.72216796875,4176.630266136098,4005.768118885076,4176.630266136098,63437700
2023-01-10,4043.737060546875,4081.7064226177376,4005.7676984760124,4081.7064226177376,62964600
2023-01-11,3967.798583984375,4062.7219950844797,3948.813901764354,4043.7373128644585,45514800
2023-01-12,4062.72216796875,4081.7068509966416,3948.8140698014017,3948.8140698014017,61374300
2023-01-13,4138.6611328125,4176.63050100344,4024.7530282396788,4081.7070805260896,52039800
2023-01-16,4252.568359375,4252.568359375,4157.644958496094,4195.614318847656,48458700
2023-01-17,4214.60009765625,4290.538838154561,4176.630727407094,4252.569467905405,66999600
2023-01-18,4290.5380859375,4290.5380859375,4214.5993587527655,4214.5993587527655,28120700
2023-01-19,4442.41552734375,4461.400209084535,4290.538073417468,4290.538073417468,95543300
2023-01-20,4480.384765625,4480.384765625,4385.461359573623,4461.400084414724,54173000
2023-01-24,4499.36962890625,4518.354310884757,4442.415582970728,4480.384946927743,26217800
2023-01-25,4518.35498046875,4518.35498046875,4442.416241301208,4480.385610884979,18115800
2023-01-26,4480.384765625,4518.35412804555,4442.415403204449,4499.369446835275,40168400
2023-01-27,4461.40087890625,4518.354932679521,4461.40087890625,4499.370248088431,31869800
2023-01-30,4461.40087890625,4480.385563497341,4385.462140541888,4461.40087890625,34817500
2023-01-31,4556.32373046875,4575.308412679036,4480.385001627604,4499.36968383789,89064100
2023-02-01,4556.32373046875,4556.32373046875,4499.36968383789,4556.32373046875,35355300
2023-02-02,4499.36962890625,4537.338992863265,4461.400264949235,4518.354310884757,30039900
2023-02-03,4461.40087890625,4537.339617270612,4461.40087890625,4537.339617270612,24629700
2023-02-06,4442.41552734375,4480.38489082532,4423.430845602965,4461.400209084535,31033700
2023-02-07,4461.40087890625,4499.370248088431,4423.431509724069,4423.431509724069,29536700
2023-02-08,4404.4462890625,4480.385018184267,4385.461606782059,4461.400335903826,27235100
2023-02-09,4309.5224609375,4442.415224050111,4309.5224609375,4423.430543605452,48263600
2023-02-10,4328.5078125,4328.5078125,4214.5997121710525,4252.569078947368,71158200
2023-02-13,4347.4921875,4366.476869541485,4309.522823417031,4328.507505458515,22154800
2023-02-14,4347.4921875,4404.446233624454,4328.507505458515,4366.476869541485,31292000
2023-02-15,4309.5224609375,4347.491821826818,4233.583739158866,4347.491821826818,38862100
2023-02-16,4328.5078125,4328.5078125,4271.553762335526,4328.5078125,19014100
2023-02-17,4309.5224609375,4347.491821826818,4271.553100048183,4328.507141382159,31273200
2023-02-20,4252.568359375,4328.507080078125,4233.583679199219,4309.522399902344,29576500
2023-02-21,4233.583984375,4290.538029007847,4214.5993028307175,4252.5686659192825,26985200
2023-02-22,4271.5537109375,4290.5383940972215,4214.599661458333,4214.599661458333,24822300
2023-02-23,4290.5380859375,4328.507449529867,4233.584040548949,4290.5380859375,33406700
2023-02-24,4366.47705078125,4404.446416440217,4290.538319463315,4309.523002292799,30869400
2023-02-27,4404.4462890625,4404.4462890625,4328.507559940733,4347.492242221175,28650400
2023-02-28,4632.2626953125,4765.155477555071,4632.2626953125,4708.20142802254,154669700
2023-03-01,4670.23193359375,4689.2166162506355,4594.29320296621,4632.26256827998,49851200
2023-03-02,4670.23193359375,4689.2166162506355,4613.277885623094,4670.23193359375,26943600
2023-03-03,4594.29296875,4670.231695506199,4575.3082870609505,4670.231695506199,32818500
2023-03-06,4613.27783203125,4651.247196903935,4594.293149594908,4632.262514467592,22141000
2023-03-07,4518.35498046875,4613.278404428177,4480.385610884979,4594.293719636292,41630000
2023-03-08,4499.36962890625,4537.338992863265,4461.400264949235,4480.384946927743,40374900
2023-03-09,4575.30859375,4594.293276711618,4518.354544865145,4537.339227826764,23104400
2023-03-10,4537.33935546875,4556.324038964435,4480.385304981694,4537.33935546875,33330500
2023-03-13,4499.36962890625,4537.338992863265,4442.415582970728,4480.384946927743,28402600
2023-03-14,4385.4619140625,4499.370015726461,4366.477230451839,4480.3853321158,56988600
2023-03-15,4385.4619140625,4461.40064850514,4385.4619140625,4442.415964894481,40170800
2023-03-16,4442.41552734375,4461.400209084535,4309.522755158253,4385.4614821213945,33947700
2023-03-17,4442.41552734375,4499.3695725661055,4442.41552734375,4461.400209084535,74811900
2023-03-20,4461.40087890625,4480.385563497341,4404.446825132979,4442.416194315159,22146000
2023-03-21,4461.40087890625,4537.339617270612,4442.416194315159,4442.416194315159,40671600
2023-03-24,4518.35498046875,4556.3243500525205,4480.385610884979,4499.370295676864,60721800
2023-03-27,4461.40087890625,4537.339617270612,4461.40087890625,4518.354932679521,32493100
2023-03-28,4442.41552734375,4499.3695725661055,4442.41552734375,4480.38489082532,42944400
2023-03-29,4518.35498046875,4594.293719636292,4442.416241301208,4442.416241301208,81945000
2023-03-30,4480.384765625,4537.338809255826,4480.384765625,4537.338809255826,40174400
2023-03-31,4556.32373046875,4575.308412679036,4499.36968383789,4518.354366048177,40364100
2023-04-03,4556.32373046875,4632.262459309895,4537.339048258464,4594.293094889323,44636200
2023-04-04,4575.30859375,4594.293276711618,4518.354544865145,4575.30859375,35612700
2023-04-05,4556.32373046875,4594.293094889323,4537.339048258464,4575.308412679036,27556300
2023-04-06,4499.36962890625,4556.323674841772,4499.36962890625,4556.323674841772,32964500
2023-04-10,4537.33935546875,4537.33935546875,4461.400621486009,4518.354671973065,40039500
2023-04-11,4613.27783203125,4632.262514467592,4499.369737413194,4518.354419849537,37545800
2023-04-12,4746.17041015625,4784.1397734375005,4651.247001953126,4670.23168359375,126817700
2023-04-13,4746.17041015625,4765.155091796875,4689.216365234375,4727.185728515625,35138600
2023-04-14,4708.201171875,4784.139900453629,4708.201171875,4765.155218308972,45556300
2023-04-17,4727.185546875,4765.154908697289,4708.200865963855,4708.200865963855,33965200
2023-04-18,4879.0634765625,4917.032842138862,4765.155379833414,4765.155379833414,101792500
2023-04-26,5087.89501953125,5087.89501953125,4936.0175562616605,5030.9409708051535,182919200
2023-04-27,5087.89501953125,5106.879702439949,5030.9409708051535,5068.910336622551,45762900
2023-04-28,5125.86474609375,5125.86474609375,5068.910693359375,5087.895377604166,64976400
2023-05-02,5068.91064453125,5144.849380778909,5011.956592345506,5144.849380778909,62972600
2023-05-03,5030.94091796875,5106.879648806013,4973.986869840802,5087.894966096697,106341300
2023-05-04,5011.95654296875,5030.941226843632,4973.9871752189865,5011.95654296875,132167800
2023-05-05,5096.48291015625,5096.48291015625,5096.48291015625,5096.48291015625,82270600
2023-05-08,5075.765625,5117.200446428571,5013.613392857143,5096.4830357142855,95087500
2023-05-09,5241.5048828125,5241.5048828125,5034.33077677248,5075.765597980484,96938100
2023-05-10,5241.5048828125,5324.374525228508,5220.787472208498,5262.222293416502,52404700
2023-05-11,5179.3525390625,5262.2221796875,5117.2003085937495,5262.2221796875,39596900
2023-05-12,5158.63525390625,5200.070075222766,5117.200432589734,5158.63525390625,67576500
2023-05-15,5262.22265625,5262.22265625,5117.2007720226375,5200.070420152559,42039400
2023-05-16,5200.0703125,5303.657370517929,5179.352900896415,5262.222547310757,19445400
2023-05-17,5241.5048828125,5262.222293416502,5200.070061604496,5262.222293416502,29480000
2023-05-19,5365.80908203125,5427.961310780647,5262.222034115589,5303.656853281854,75548600
2023-05-22,5469.39697265625,5510.831798206676,5324.375083229758,5407.24473433061,63793800
2023-05-23,5469.39697265625,5510.831798206676,5427.9621471058235,5469.39697265625,49261900
2023-05-24,5531.548828125,5531.548828125,5386.526948735956,5448.679182759832,54136600
2023-05-25,5469.39697265625,5552.266623757102,5407.24473433061,5552.266623757102,43564900
2023-05-26,5469.39697265625,5469.39697265625,5407.24473433061,5469.39697265625,25356200
2023-05-29,5469.39697265625,5490.114385431463,5365.809908780185,5490.114385431463,27939400
2023-05-30,5386.52685546875,5469.3964993990385,5386.52685546875,5448.679088416467,23340800
2023-05-31,5345.091796875,5469.396257267442,5345.091796875,5386.526617005814,154796300
2023-06-05,5655.853515625,5800.875400641026,5386.527157738095,5407.244569883243,200252000
2023-06-06,5635.1357421875,5738.722796271829,5593.700920553768,5635.1357421875,65282100
2023-06-07,5635.1357421875,5676.570563821231,5531.548688103171,5635.1357421875,81991400
2023-06-08,5614.41845703125,5614.41845703125,5552.266223189576,5572.983634470133,32704900
2023-06-09,5635.1357421875,5635.1357421875,5552.266098920037,5593.700920553768,24893400
2023-06-12,5614.41845703125,5635.135868311808,5531.548811909018,5635.135868311808,37558000
2023-06-13,5593.701171875,5655.853407118056,5593.701171875,5614.418583622685,23911800
